student_id,age,gender,education_level,stream,board,aptitude_logical,aptitude_verbal,aptitude_numerical,aptitude_spatial,personality_openness,personality_conscientiousness,personality_extraversion,personality_agreeableness,personality_neuroticism,interest_realistic,interest_investigative,interest_artistic,interest_social,interest_enterprising,interest_conventional,career_outcome
STU270140,16,M,class_10,commerce,cbse,45.89,70.57,57.18,76.3,5.0,2.91,4.55,4.32,2.36,2.46,3.45,4.29,2.13,3.72,2.01,Film Director
STU260066,15,M,class_10,undecided,cbse,69.69,77.11,35.0,46.97,1.64,3.81,1.24,4.85,2.85,3.22,1.71,4.45,4.66,3.12,1.0,Journalist
STU060099,15,M,class_10,science_pcm,icse,84.25,55.71,63.33,81.41,3.76,3.51,3.22,2.28,2.64,5.0,3.35,3.43,2.44,4.72,3.42,Mechanical Engineer
STU330064,22,M,undergraduate,vocational,cbse,71.53,74.23,80.95,87.25,2.91,2.26,4.35,4.26,1.1,3.6,3.32,2.95,3.06,4.58,3.49,Chef / Culinary Arts
STU010080,22,O,undergraduate,undecided,cbse,71.45,54.45,71.3,76.7,2.06,3.92,1.8,3.04,2.2,3.48,4.69,4.5,2.7,2.25,2.63,Software Engineer
STU170081,17,F,class_12,commerce,state,86.8,55.0,43.12,67.74,2.87,2.7,4.86,3.64,4.2,1.2,4.39,4.29,2.13,3.77,3.77,Digital Marketing Manager
STU240090,21,F,undergraduate,arts,icse,51.82,58.81,65.37,89.48,4.57,4.15,3.36,3.73,4.5,2.0,1.56,4.41,4.15,2.84,2.32,Architect
STU170099,18,M,undergraduate,commerce,ib,85.16,87.1,70.59,79.67,2.8,4.26,4.49,3.7,1.76,3.6,3.96,2.73,4.18,4.93,3.29,Digital Marketing Manager
STU310094,16,F,class_10,science_pcm,cbse,92.49,83.74,91.49,79.64,2.24,4.33,3.47,4.06,1.49,2.22,5.0,2.2,4.55,3.91,2.23,Environmental Scientist
STU290103,20,F,undergraduate,arts,state,85.03,70.0,86.41,89.19,3.72,4.65,3.02,4.58,1.66,4.42,3.69,4.1,4.41,3.72,2.41,IAS Officer
STU060015,17,F,class_12,science_pcm,ib,82.92,39.88,54.64,95.38,2.58,3.26,3.02,3.5,3.31,4.28,2.91,3.7,3.35,1.79,2.95,Mechanical Engineer
STU010034,17,F,class_12,science_pcm,cbse,83.93,55.34,84.66,76.09,4.97,3.1,3.61,4.22,2.03,3.91,3.63,3.59,1.83,3.21,2.98,Software Engineer
STU160124,18,M,class_12,science_pcm,cbse,71.98,82.33,68.0,100.0,4.41,3.75,2.02,4.69,2.14,1.94,2.44,3.96,4.9,3.6,2.3,Management Consultant
